year,season,researcher,lakename,lakeregloc,lakecountry,lakearea,lakemeandepth,lakemaxdepth,lakeelevation,watershedarea,h2oresidence,lakefetch,stationdistance,stationdepth,stationname,poolstation,stationlat,stationlong,multiplestations,startday,startmonth,startyear,endday,endmonth,endyear,iceduration,periodn,samplenarrat,sampletype,photicdepth,sampledepth,icedepth,snowdepth,icenarrat,sidata,fadata,gutdata,foodwebnarrat,watertemp,airtemp,averadiation,cvradiation,avesecchidepth,cvsecchidepth,avetotphos,cvtotphos,maxtotphos,avetotdissphos,cvtotdissphos,maxtotdissphos,avetotnitro,cvtotnitro,maxtotnitro,avetotdissnitro,cvtotdissnitro,maxtotdissnitro,avetotdoc,cvtotdoc,maxtotdoc,avesuva,cvsuva,maxsuva,avecolor,cvcolor,maxcolor,avechla,cvchla,maxchla,waterchemnarrat,profiles,avephytoppr,maxphytoppr,phytopprunit,phytopprnarrat,phytomethod,avephytomass,cvphytomass,maxphytomass,avephytocount,cvphytocount,maxphytocount,propchloro,propcrypto,propcyano,propdiatom,propdino,propotherphyto,aveciliamass,cvciliamass,maxciliamass,aveciliacount,cvciliacount,maxciliacount,avehnfmass,cvhnfmass,maxhnfmass,avehnfcount,cvhnfcount,maxhnfcount,zoopmethod,avezoopmass,cvzoopmass,maxzoopmass,avezoopcount,cvzoopcount,maxzoopcount,propdaphnia,propothercladoc,propcyclopoid,propcalanoid,proprotifer,propotherzoop,avebactcount,cvbactcount,maxbactcount,avebactprod,cvbactprod,maxbactprod,bactprodunit,bactprodmethod,bactcompnarrat,bensubstrate,avebenalgalmass,cvbenalgalmass,maxbenalgalmass,avebenchla,cvbenchla,maxbenchla,macrophytemass,benamphdens,bengastrodens,benbivalvedens,beninsectdens,benoligodens,fishnarrat
2004,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2004,15,Sep,2004,NA,11,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,25.54545455,1.382949469,130,NA,NA,NA,492.1818182,0.20088605,671,NA,NA,NA,2.090909091,0.069156407,2.3,NA,NA,NA,NA,NA,NA,0.781818182,1.529350492,4.3,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,iceon,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,25,Jan,2005,28,Feb,2005,NA,5,intake sample,intake,NA,9,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,61.4,0.845777249,152,NA,NA,NA,684,0.160649166,864,NA,NA,NA,2.1,0.095238095,2.3,NA,NA,NA,NA,NA,NA,0.3,0.40824829,0.5,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2005,15,Sep,2005,NA,11,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,12.90909091,0.410570024,22,NA,NA,NA,466.2727273,0.095321202,559,NA,NA,NA,2.136363636,0.113258659,2.6,NA,NA,NA,NA,NA,NA,1.81,2.293900947,13.6,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,iceon,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,25,Jan,2006,28,Feb,2006,NA,5,intake sample,intake,NA,9,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,62,NA,62,NA,NA,NA,735.8,0.340746615,1168,NA,NA,NA,2,0.040824829,2.1,NA,NA,NA,NA,NA,NA,0.84,0.509267848,1.5,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2006,15,Sep,2006,NA,11,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,18.09090909,0.40048076,31,NA,NA,NA,457.5454545,0.15122337,563,NA,NA,NA,2.172727273,0.08993383,2.5,NA,NA,NA,NA,NA,NA,1.027272727,0.645847959,2.7,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,iceon,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,25,Jan,2007,28,Feb,2007,NA,5,intake sample,intake,NA,9,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,35.8,0.676877373,73,NA,NA,NA,630,0.121540046,733,NA,NA,NA,2.06,0.094629071,2.3,NA,NA,NA,NA,NA,NA,0.5,0.64807407,0.9,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2007,15,Sep,2007,NA,11,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,14.72727273,0.717373191,46,NA,NA,NA,500.6363636,0.297243293,925,NA,NA,NA,2.354545455,0.099356166,2.7,NA,NA,NA,NA,NA,NA,0.581818182,0.830774065,1.9,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,iceon,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,25,Jan,2008,28,Feb,2008,NA,5,intake sample,intake,NA,9,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,22.4,0.177451847,29,NA,NA,NA,448.8,0.167789774,560,NA,NA,NA,1.94,0.078173974,2.1,NA,NA,NA,NA,NA,NA,0.48,0.838525492,1.2,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2008,15,Sep,2008,NA,10,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,13.3,0.638040307,28,NA,NA,NA,458.6,0.165935853,628,NA,NA,NA,2.15,0.179804861,3,NA,NA,NA,NA,NA,NA,0.45,0.639358389,1,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,iceon,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,25,Jan,2009,28,Feb,2009,NA,5,intake sample,intake,NA,9,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,22.8,0.258362745,30,NA,NA,NA,570,0.262844843,776,NA,NA,NA,2.16,0.041408666,2.3,NA,NA,NA,NA,NA,NA,0.28,0.391230398,0.4,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2009,15,Sep,2009,NA,11,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,16.45454545,0.505088421,34,NA,NA,NA,387,0.18461262,516,NA,NA,NA,2.181818182,0.122672781,2.6,NA,NA,NA,NA,NA,NA,1.918181818,2.088019564,13.9,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,iceon,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,25,Jan,2010,28,Feb,2010,NA,5,intake sample,intake,NA,9,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,58.2,1.039724782,163,NA,NA,NA,448,0.310255813,654,NA,NA,NA,2,0.079056942,2.2,NA,NA,NA,NA,NA,NA,1.28,0.731627173,2.9,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2010,15,Sep,2010,NA,11,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,21.36363636,0.804581719,66,NA,NA,NA,453.4545455,0.239623829,685,NA,NA,NA,2.145454545,0.0917253,2.5,NA,NA,NA,NA,NA,NA,1,0.45704364,1.8,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,iceon,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,25,Jan,2011,28,Feb,2011,NA,5,intake sample,intake,NA,9,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,26.4,0.698244881,59,NA,NA,NA,370.2,0.1442246,417,NA,NA,NA,2.2,0.106600358,2.6,NA,NA,NA,NA,NA,NA,1.1,0.213200716,1.5,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,iceoff,Michelle.Palmer,Lake Erie,Ontario,Canada,25700,19,64,173,78000,950,92,1.2,NA,Elgin,Elgin,42.681568,-81.163263,yes,1,Jul,2011,15,Sep,2011,NA,11,intake sample,intake,NA,9,0,0,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,19.27272727,0.810859895,60,NA,NA,NA,431.2727273,0.157782238,559,NA,NA,NA,2.109090909,0.049522092,2.3,NA,NA,NA,NA,NA,NA,0.67,0.727967979,1.8,Samples analyzed by Ontario Ministry of the Environment and Climate Change using standardized techniques (Chow et al. 2010).,"no, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,iceon,Robert.McKay,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,21,24.5,"EC1326 (aka EC1290, CCB)",Erie-central-basin,41.7325,-81.7013,yes,24,Feb,2009,19,Mar,2009,60,2,Sampling conducted from icebreaker USCGC NEAH BAY from water cleared of ice by the vessel,in situ,NA,1,4,NA,9/10 ice coverage in Feb with 1-3 inch plate ice ,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.71,6,NA,NA,NA,273,0.25,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,0.27,12.4,"Nutrients analyzed by National Center for Water Quality Research (Heidelberg University, Tiffin, OH, USA) using standardized techniques (EPA 1979). Chlorophyll measured flourometrically on pigment extracted in 90% acetone from samples collected on 0.2 micron PCTE membranes",yes,3.18,3.18,g C g chl^-1 h^-1,Photosynthetic rates were measured by tracing the acid-stable uptake of radiolabelled 14C HCO3 in samples incubated simultaneously under 24 different light intensities for 2-3 h using a temperature-controlled photosynthetron ,"Sampling was as described elsewhere (Twiss et al., 2012, JGLR). A stainless steel sampling bucket was lowered to 1 m and sample collected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,iceon,Robert.McKay,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,21,24.5,"EC1326 (aka EC1290, CCB)",Erie-central-basin,41.7325,-81.7013,yes,10,Feb,2010,18,Mar,2010,60,3,Sampling conducted from icebreakers USCGC NEAH BAY (10 Feb - 18 Mar) and CCGS GRIFFON (18 Feb) from water cleared of ice by the vessel,in situ,NA,1,10,NA,"near 100% plate ice coverage in Feb; thinning, variable ice by March survey ",no,no,no,NA,0,2,600,0.38,1.2,NA,17.5,NA,17.5,7.6,0.35,9.2,NA,NA,NA,199,0.46,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,0.81,9.9,"Nutrients analyzed by National Center for Water Quality Research (Heidelberg University, Tiffin, OH, USA) using standardized techniques (EPA 1979). Chlorophyll measured flourometrically on pigment extracted in 90% acetone from samples collected on 0.2 micron PCTE membranes",yes,1.84,1.84,g C g chl^-1 h^-1,Photosynthetic rates were measured by tracing the acid-stable uptake of radiolabelled 14C HCO3 in samples incubated simultaneously under 24 different light intensities for 2-3 h using a temperature-controlled photosynthetron ,"Sampling was as described elsewhere (Twiss et al., 2012, JGLR). A stainless steel sampling bucket was lowered to 1 m and sample collected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291000,0.407879344,420000,NA,NA,NA,,,comprehensive taxonomic analysis was completed by Illumina MiSeq targeting the 16S rRNA V4 hypervariable region of bacterial and plastid genomes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,iceon,Robert.McKay,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,21,24.5,"EC1326 (aka EC1290, CCB)",Erie-central-basin,41.7325,-81.7013,yes,1,Feb,2011,4,Mar,2011,60,5,Sampling conducted from icebreakers USCGC NEAH BAY (1 Feb - 4 Mar) and CCGS GRIFFON (18 Feb) from water cleared of ice by the vessel,in situ,NA,1,25,3.5,area around site on average 90% covered by ice most of which was plate ice,no,no,no,NA,0.1,0,290,0.75,NA,NA,19.7,NA,19.7,4.2,0.31,6.1,NA,NA,NA,250,0.42,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,0.67,21.9,"Nutrients analyzed by National Center for Water Quality Research (Heidelberg University, Tiffin, OH, USA) using standardized techniques (EPA 1979). Chlorophyll measured flourometrically on pigment extracted in 90% acetone from samples collected on 0.2 micron PCTE membranes",yes,2.6,2.6,g C g chl^-1 h^-1,Photosynthetic rates were measured by tracing the acid-stable uptake of radiolabelled 14C HCO3 in samples incubated simultaneously under 24 different light intensities for 2-3 h using a temperature-controlled photosynthetron ,"Sampling was as described elsewhere (Twiss et al., 2012, JGLR). A stainless steel sampling bucket was lowered to 1 m and sample collected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323000,0.0203,365000,NA,NA,NA,,,comprehensive taxonomic analysis was completed by Illumina MiSeq targeting the 16S rRNA V4 hypervariable region of bacterial and plastid genomes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,iceoff,Robert.McKay,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,21,24.5,"EC1326 (aka EC1290, CCB)",Erie-central-basin,41.7325,-81.7013,yes,20,Jul,2011,21,Jul,2011,NA,2,Sampling conducted from RV BLUE HERON using Niskin bottles to collect water samples from discrete depths,in situ,NA,5,NA,0,NA,no,no,no,NA,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.16,0.45,,yes,NA,NA,NA,NA,Sampling conducted from RV BLUE HERON using Niskin bottles to collect water samples from discrete depths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E+05,0.151897343,221000,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,iceon,Robert.McKay,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,21,24.5,"EC1326 (aka EC1290, CCB)",Erie-central-basin,41.7325,-81.7013,yes,22,Feb,2013,22,Feb,2013,60,1,Sampling conducted from icebreaker CCGS GRIFFON from water cleared of ice by the vessel,in situ,NA,1,12,1,area around station was 90% ice-covered with about 20% of ice covered by snow of 1-3 cm depth,no,no,no,NA,0,2,NA,NA,NA,NA,23.8,NA,23.8,6.6,NA,6.6,NA,NA,NA,92,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,0.19,13.8,"Nutrients analyzed by National Center for Water Quality Research (Heidelberg University, Tiffin, OH, USA) using standardized techniques (EPA 1979). Chlorophyll measured flourometrically on pigment extracted in 90% acetone from samples collected on 0.2 micron PCTE membranes",yes,NA,NA,NA,NA,"Sampling was as described elsewhere (Twiss et al., 2012, JGLR). A stainless steel sampling bucket was lowered to 1 m and sample collected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,comprehensive taxonomic analysis was completed by Illumina MiSeq targeting the 16S rRNA V4 hypervariable region of bacterial and plastid genomes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,iceoff,Rick.Bourbonniere,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,21,24.5,"EC1326 (aka EC1290, CCB)",Erie-central-basin,41.7325,-81.7013,yes,16,Jul,2013,24,Jul,2013,NA,2,Sampling conducted by Environment Canada personnel on board CCGS LIMNOS,in situ,NA,1,NA,0,NA,NA,no,no,NA,24.77,NA,NA,NA,5.5,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,iceon,Robert.McKay,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,34,23.8,EC880 (aka EC84),Erie-central-basin,41.9158,-81.63,yes,13,Feb,2008,14,Feb,2008,60,2,Sampling conducted from icebreaker CCGS GRIFFON from water cleared of ice by the vessel,in situ,NA,1,NA,NA,NA,no,no,no,NA,0.17,-6.1,NA,NA,1,NA,25.8,0.015,26.3,15.3,0.009,15.5,NA,NA,NA,222,0.03,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.11,1.9,Nutrients and chl analyzed by Environment Canada (NLET),yes,3.69,3.69,g C g chl^-1 h^-1,Photosynthetic rates were measured by tracing the acid-stable uptake of radiolabelled 14C HCO3 in samples incubated simultaneously under 24 different light intensities for 2-3 h using a temperature-controlled photosynthetron ,"Sampling was as described elsewhere (Twiss et al., 2012, JGLR). A stainless steel sampling bucket was lowered to 1 m and sample collected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,iceon,Robert.McKay,Lake Erie,"ON,MI,OH,PA,NY",Canada/USA,25700,19,64,173,78000,950,400,34,23.8,EC880 (aka EC84),Erie-central-basin,41.9158,-81.63,yes,14,Jan,2009,19,Mar,2009,65,3,Sampling conducted from icebreaker CCGS GRIFFON from water cleared of ice by the vessel,in situ,4.9,1,NA,NA,,no,no,no,NA,0.2,NA,NA,NA,1.2,NA,16.2,0.11,18.1,5,0.84,9.9,NA,NA,NA,143,0.3,172,18.6,0.03,19.166,NA,NA,NA,NA,NA,NA,3.9,0.43,5.1,Nutrients analyzed by Environment Canada (NLET),yes,1.88,1.88,g C g chl^-1 h^-1,Photosynthetic rates were measured by tracing the acid-stable uptake of radiolabelled 14C HCO3 in samples incubated simultaneously under 24 different light intensities for 2-3 h using a temperature-controlled photosynthetron ,"Sampling was as described elsewhere (Twiss et al., 2012, JGLR). A stainless steel sampling bucket was lowered to 1 m and sample collected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
