lakeid,year4,sampledate,depth_range_m,rep,tri_chl_spec,mono_chl_spec,phaeo_spec,uncorrect_chl_fluor,correct_chl_fluor,phaeo_fluor,flag_spec,flag_fluor
FI,2001,7/18/2001,0-2,1,7,8.3,-2.7,6.7,5.7,2.1,H,D
FI,2001,7/18/2001,0-2,2,9,9.8,-1.9,6.8,5.7,2.3,H,D
ME,2001,7/30/2001,0,1,,,,10.1,8.9,2.6,,D
ME,2001,7/30/2001,2,1,,,,19.2,17.6,3.3,,D
ME,2001,7/30/2001,4,1,,,,16.5,15,3.3,,D
ME,2001,7/30/2001,6,1,,,,22.7,20.3,5.1,,D
ME,2001,7/30/2001,8,1,,,,2.4,1.8,1.2,,D
ME,2001,7/30/2001,10,1,,,,1.9,1.5,0.8,,D
ME,2001,7/30/2001,10,2,,,,1.7,1.3,0.8,,D
ME,2001,7/30/2001,12,1,,,,2.4,2,1,,D
ME,2001,7/30/2001,0-2,1,10.3,11,-1.8,14.1,12.7,3.2,H,D
ME,2001,7/30/2001,0-2,2,11.7,12,-1.3,13.3,12.2,2.5,H,D
ME,2001,7/30/2001,0-8,1,11.9,11.2,0.4,17,15.4,3.4,H,D
MO,2001,7/30/2001,0,1,,,,12.6,11.4,2.5,,D
MO,2001,7/30/2001,2,1,,,,20.3,16.6,7.9,,D
MO,2001,7/30/2001,4,1,,,,44.1,42.1,4.3,,D
MO,2001,7/30/2001,6,1,,,,17.2,14.8,5,,D
MO,2001,7/30/2001,8,1,,,,3.1,2.4,1.5,,D
MO,2001,7/30/2001,12,1,,,,1.7,1.3,0.9,,D
MO,2001,7/30/2001,0-2,1,10,10.4,-1.3,16.7,14.9,3.8,H,D
MO,2001,7/30/2001,0-2,2,11,9.9,1.2,14.6,12.8,3.7,H,D
MO,2001,7/30/2001,0-8,1,10.3,10.3,-0.6,15.4,13.2,4.7,H,D
FI,2001,8/1/2001,0,1,,,,13.4,11.6,3.7,,D
FI,2001,8/1/2001,2,1,,,,31,28,6.3,,D
FI,2001,8/1/2001,3,1,,,,54.7,50.9,8.2,,D
FI,2001,8/1/2001,4,1,,,,36.6,31.6,10.8,,D
FI,2001,8/1/2001,5,1,,,,15.7,5.1,22.6,,D
FI,2001,8/1/2001,6,1,,,,6.1,3.3,5.9,,D
FI,2001,8/1/2001,7,1,,,,3.7,1.5,4.7,,D
FI,2001,8/1/2001,8,1,,,,2.5,1.4,2.3,,D
FI,2001,8/1/2001,9,1,,,,3.5,2.5,2.1,,D
FI,2001,8/1/2001,10,1,,,,3,1.8,2.6,,D
FI,2001,8/1/2001,11,1,,,,4.6,2.5,4.5,,D
FI,2001,8/1/2001,12,1,,,,4,2.1,4.1,,D
FI,2001,8/1/2001,0-2,1,6.1,5.9,-0.1,13.1,11.7,2.9,H,D
FI,2001,8/1/2001,0-2,2,11.7,11.4,-0.3,11.5,10.2,2.7,H,D
WI,2001,8/1/2001,0,1,,,,17.5,14,7.5,,D
WI,2001,8/1/2001,1,1,,,,22.6,19.9,5.7,,D
WI,2001,8/1/2001,2,1,,,,29.6,25.1,9.6,,D
WI,2001,8/1/2001,0-2,1,13.2,12,1.4,20.5,18.2,4.9,H,D
WI,2001,8/1/2001,0-2,2,22.1,22.9,-2.6,18.1,15.7,5.3,H,D
ME,2001,8/13/2001,0-2,1,3.7,3.4,0.4,12,10.5,3.2,H,D
ME,2001,8/13/2001,0-2,2,14.3,13.8,0.2,10.5,9.1,3,H,D
ME,2001,8/13/2001,0-8,1,8.1,6.6,2.1,8.6,7.4,2.6,H,D
MO,2001,8/13/2001,0-2,1,5.9,5.9,-0.4,9.3,8.3,2.2,H,D
MO,2001,8/13/2001,0-2,2,10.9,10.6,-0.3,10.6,9.5,2.4,H,D
MO,2001,8/13/2001,0-8,1,7,6.7,0.3,12.6,11.3,2.8,H,D
FI,2001,8/15/2001,0-2,1,8.2,7.3,1,9,7.6,3,H,D
FI,2001,8/15/2001,0-2,2,10.4,10.8,-1.2,8.9,7.7,2.7,H,D
WI,2001,8/15/2001,0-2,1,15.5,15,0.2,28.9,24.6,8.9,H,D
WI,2001,8/15/2001,0-2,2,36.9,34.8,1.3,35.8,31.3,9.7,H,D
ME,2001,8/27/2001,0,1,,,,15.9,15.2,1.5,,D
ME,2001,8/27/2001,2,1,,,,15.3,13.2,4.4,,D
ME,2001,8/27/2001,4,1,,,,15.5,13.5,4.1,,D
ME,2001,8/27/2001,6,1,,,,15.8,13.9,4.1,,D
ME,2001,8/27/2001,8,1,,,,10.1,8.1,4.2,,D
ME,2001,8/27/2001,10,1,,,,5.2,3.8,2.9,,D
ME,2001,8/27/2001,12,1,,,,3.2,2.2,2,,D
ME,2001,8/27/2001,0-2,1,10.9,10,0.9,14,12.9,2.4,H,D
ME,2001,8/27/2001,0-2,2,12.1,12.6,-1.6,18,16.1,3.9,H,D
ME,2001,8/27/2001,0-8,1,11.1,11.8,-1.9,14.4,13,3.1,H,D
MO,2001,8/27/2001,0,1,,,,26.6,24.8,3.9,,D
MO,2001,8/27/2001,2,1,,,,25.5,22.9,5.5,,D
MO,2001,8/27/2001,4,1,,,,12.7,11.7,2.2,,D
MO,2001,8/27/2001,6,1,,,,14,12.4,3.3,,D
MO,2001,8/27/2001,8,1,,,,5.6,4.3,2.7,,D
MO,2001,8/27/2001,10,1,,,,6,4.8,2.6,,D
MO,2001,8/27/2001,12,1,,,,1.8,1.3,1.1,,D
MO,2001,8/27/2001,0-2,1,17.1,16.7,-0.5,24.6,23,3.5,H,D
MO,2001,8/27/2001,0-2,2,18.6,17.5,0.7,25.6,22.2,7.2,H,D
MO,2001,8/27/2001,0-8,1,7.9,8.3,-1.3,26.1,24.2,4,H,D
WI,2001,8/28/2001,0,1,,,,20.2,17.7,5.3,,D
WI,2001,8/28/2001,1,1,,,,23,20,6.5,,D
WI,2001,8/28/2001,2,1,,,,19.4,16.8,5.5,,D
WI,2001,8/28/2001,0-2,1,13.3,13.4,-0.8,26.1,22.9,6.8,H,D
WI,2001,8/28/2001,0-2,2,24.1,23.3,0.1,27.9,24.9,6.3,H,D
FI,2001,8/29/2001,0,1,,,,13.1,11.7,3,,D
FI,2001,8/29/2001,2,1,,,,14.4,12,5.1,,D
FI,2001,8/29/2001,4,1,,,,11.4,9.1,4.9,,D
FI,2001,8/29/2001,6,1,,,,34.2,,,,DE
FI,2001,8/29/2001,7,1,,,,27.2,,,,D
FI,2001,8/29/2001,8,1,,,,14.8,,,,DE
FI,2001,8/29/2001,9,1,,,,6.5,,,,DE
FI,2001,8/29/2001,10,1,,,,4.8,0.5,9.2,,D
FI,2001,8/29/2001,11,1,,,,5.3,,,,DE
FI,2001,8/29/2001,12,1,,,,3.8,0,7.9,,D
FI,2001,8/29/2001,0-2,1,5.3,5.6,-0.9,,,,H,
FI,2001,8/29/2001,0-2,2,6.3,6.7,-1,,,,H,
ME,2001,9/12/2001,0-2,1,8.2,7.7,0.3,12.6,10.9,3.6,H,D
ME,2001,9/12/2001,0-2,2,10.6,10.3,-0.1,14.1,12.4,3.7,H,D
ME,2001,9/12/2001,0-8,1,8.5,7.9,0.5,13.1,11.5,3.3,H,D
WI,2001,9/24/2001,0-2,1,23,22.4,-0.2,42.6,37,12,H,D
WI,2001,9/24/2001,0-2,2,29.9,28.9,-0.4,57.8,51.5,13.3,H,D
FI,2001,9/25/2001,0,1,,,,10.3,7.9,5,,D
FI,2001,9/25/2001,2,1,,,,10.4,8,5.2,,D
FI,2001,9/25/2001,4,1,,,,10.5,7.4,6.5,,D
FI,2001,9/25/2001,6,1,,,,10.4,6.9,7.3,,D
FI,2001,9/25/2001,8,1,,,,10.8,3.9,14.7,,D
FI,2001,9/25/2001,10,1,,,,5.7,,,,DE
FI,2001,9/25/2001,12,1,,,,4.3,,,,DE
FI,2001,9/25/2001,0-2,1,6.8,6.5,0.1,9.9,7.4,5.4,H,D
FI,2001,9/25/2001,0-2,2,7.2,6.4,0.9,9.2,7,4.5,H,D
ME,2001,9/26/2001,0-2,1,7.4,6.1,1.7,15.1,12.8,5,H,D
ME,2001,9/26/2001,0-2,2,13.5,11.8,2.1,8.7,7.3,3,H,D
ME,2001,9/26/2001,0-8,1,,,,12.2,10.3,3.9,,D
MO,2001,9/26/2001,0-2,1,4.4,3.1,1.9,13,11.7,2.8,H,D
MO,2001,9/26/2001,0-2,2,6.5,5.6,1,13,11.3,3.8,H,D
MO,2001,9/26/2001,0-2,3,7.4,7.1,0,,,,H,
MO,2001,9/26/2001,0-8,1,6.4,6,0.4,13.4,11.7,3.7,H,D
ME,2001,10/9/2001,0-2,1,5.1,3.6,2.3,9.6,7.5,4.5,H,D
ME,2001,10/9/2001,0-2,2,6.8,5.7,1.4,11.1,9.1,4.1,H,D
ME,2001,10/9/2001,0-8,1,4.4,3.6,1,12.5,9.6,6,H,D
ME,2001,10/22/2001,0-2,1,0.6,0.6,0,1.6,1.4,0.5,H,D
ME,2001,10/22/2001,0-2,2,1.3,1.1,0.2,1.8,1.5,0.6,H,D
ME,2001,10/22/2001,0-8,1,1.1,1.1,-0.2,1.2,1,0.5,H,D
MO,2001,10/22/2001,0-2,1,4.5,4.1,0.4,9.6,8.2,2.9,H,D
MO,2001,10/22/2001,0-2,2,5.7,4.6,1.4,5.6,4.5,2.1,H,D
MO,2001,10/22/2001,0-8,1,5,4.2,1.1,5.9,4.7,2.5,H,D
FI,2001,10/24/2001,0-2,1,4,3.5,0.6,8.6,7.3,2.9,J,D
FI,2001,10/24/2001,0-2,2,4.4,3.6,1.1,10,8.5,3.2,J,D
WI,2001,10/25/2001,0-2,1,41.4,42.6,-5,60.6,55,11.8,J,D
WI,2001,10/25/2001,0-2,2,84.1,79.2,2.5,58.8,53.2,12,J,D
ME,2001,11/6/2001,0-2,1,0.7,0.6,0.1,1.4,0.9,1.3,J,D
ME,2001,11/6/2001,0-2,2,,,,1.9,1.3,1.3,,D
ME,2001,11/6/2001,0-8,1,,,,0.7,0.3,0.7,,D
ME,2001,11/26/2001,0-2,1,1.6,1,1,2.1,1.5,1.4,J,D
ME,2001,11/26/2001,0-2,2,,,,2.1,1.4,1.5,,D
ME,2001,11/26/2001,0-8,1,,,,2.8,1.9,2,,D
MO,2001,11/26/2001,0-2,1,1.6,1.5,0.1,3.2,2.5,1.5,J,D
MO,2001,11/26/2001,0-2,2,,,,3.7,2.8,1.8,,D
MO,2001,11/26/2001,0-8,1,,,,2.8,2.2,1.4,,D
FI,2001,11/27/2001,0-2,1,5,4.9,-0.2,11.7,9.7,4.2,J,D
FI,2001,11/27/2001,0-2,2,,,,11.9,10.2,3.6,,D
WI,2001,11/29/2001,0-2,1,8.7,8.6,-0.2,37.3,32.9,9.3,J,D
WI,2001,11/29/2001,0-2,2,,,,34.4,30.1,9.1,,D
ME,2002,2/20/2002,0-8,1,,,,,,,,
ME,2002,2/28/2002,0-2,1,,,,3.5,2.8,1.6,,D
ME,2002,2/28/2002,0-2,2,,,,2.7,2,1.4,,D
ME,2002,2/28/2002,0-8,1,,,,2.9,2.3,1.4,,D
WI,2002,3/19/2002,0-2,1,,,,18.5,15.8,5.6,,D
WI,2002,3/19/2002,0-2,2,,,,18.6,16,5.4,,D
WI,2002,3/26/2002,0-2,1,,,,23.3,20.1,6.9,,D
WI,2002,3/26/2002,0-2,2,,,,22.7,19.5,6.8,,D
ME,2002,3/28/2002,0-2,1,,,,16.1,14.2,4.1,,D
ME,2002,3/28/2002,0-2,2,,,,7.8,6.9,1.9,,D
ME,2002,3/28/2002,0-8,1,,,,16.7,14.6,4.4,,D
ME,2002,4/8/2002,0-2,1,,,,11.6,10.1,3.2,,D
ME,2002,4/8/2002,0-2,2,,,,11.2,9.8,2.9,,D
ME,2002,4/8/2002,0-8,1,,,,12,10.5,3.2,,D
WI,2002,4/9/2002,0-2,1,,,,9.9,8.6,2.8,,D
WI,2002,4/9/2002,0-2,2,,,,10.6,9.3,2.8,,D
FI,2002,4/10/2002,0-2,1,,,,9.6,8.6,2.3,,D
FI,2002,4/10/2002,0-2,2,,,,8.6,7.8,1.6,,D
MO,2002,4/10/2002,0-2,1,,,,7.2,6.3,1.9,,D
MO,2002,4/10/2002,0-2,2,,,,7.4,6.4,2.2,,D
MO,2002,4/10/2002,0-8,1,,,,8.4,7.2,2.6,,D
WI,2002,4/22/2002,0-2,1,,,,,,,,
WI,2002,4/22/2002,0-2,2,,,,,,,,
MO,2002,4/23/2002,0-2,1,,,,,,,,
MO,2002,4/23/2002,0-2,2,,,,,,,,
MO,2002,4/23/2002,0-8,1,,,,,,,,
ME,2002,4/24/2002,0-2,1,,,,,,,,
ME,2002,4/24/2002,0-2,2,,,,,,,,
ME,2002,4/24/2002,0-8,1,,,,,,,,
FI,2002,4/25/2002,0-2,1,,,,,,,,
FI,2002,4/25/2002,0-2,2,,,,,,,,
ME,2002,5/6/2002,0-2,1,,,,,,,,
ME,2002,5/6/2002,0-2,2,,,,,,,,
ME,2002,5/6/2002,0-8,1,,,,,,,,
WI,2002,5/7/2002,0-2,1,,,,,,,,
ME,2002,5/20/2002,0-2,1,,,,,,,,
ME,2002,5/20/2002,0-2,2,,,,,,,,
ME,2002,5/20/2002,0-8,1,,,,,,,,
MO,2002,5/21/2002,0-2,1,,,,,,,,
MO,2002,5/21/2002,0-8,1,,,,,,,,
FI,2002,5/22/2002,0-2,1,,,,,,,,
FI,2002,5/22/2002,0-2,2,,,,,,,,
WI,2002,5/23/2002,0-2,1,,,,,,,,
WI,2002,5/23/2002,0-2,2,,,,,,,,
ME,2002,6/3/2002,0-2,1,,,,,,,,
ME,2002,6/3/2002,0-8,1,,,,,,,,
FI,2002,6/5/2002,0-2,1,,,,,,,,
FI,2002,6/5/2002,0-2,2,,,,,,,,
MO,2002,6/5/2002,0-2,1,,,,,,,,
MO,2002,6/5/2002,0-8,1,,,,,,,,
WI,2002,6/6/2002,0-2,1,,,,,,,,
WI,2002,6/6/2002,0-2,2,,,,,,,,
FI,2002,6/17/2002,0-2,1,,,,,,,,
FI,2002,6/17/2002,0-2,2,,,,,,,,
ME,2002,6/18/2002,0-2,1,,,,,,,,
ME,2002,6/18/2002,0-2,2,,,,,,,,
ME,2002,6/18/2002,0-8,1,,,,,,,,
MO,2002,6/19/2002,0-2,1,,,,,,,,
MO,2002,6/19/2002,0-8,1,,,,,,,,
WI,2002,6/20/2002,0-2,1,,,,,,,,
WI,2002,6/20/2002,0-2,2,,,,,,,,
MO,2002,7/1/2002,0-2,1,,,,,,,,
MO,2002,7/1/2002,0-2,2,,,,,,,,
MO,2002,7/1/2002,0-8,1,,,,,,,,
FI,2002,7/2/2002,0-2,1,,,,,,,,
WI,2002,7/3/2002,0-2,1,,,,,,,,
WI,2002,7/3/2002,0-2,2,,,,,,,,
WI,2002,7/12/2002,0-2,1,,,,,,,,
ME,2002,7/15/2002,0-2,1,,,,,,,,
ME,2002,7/15/2002,0-8,1,,,,,,,,
MO,2002,7/16/2002,0-2,1,,,,,,,,
MO,2002,7/16/2002,0-8,1,,,,,,,,
FI,2002,7/17/2002,0-2,1,,,,,,,,
WI,2002,7/18/2002,0-2,1,,,,,,,,
ME,2002,7/26/2002,0-2,1,,,,,,,,
ME,2002,7/26/2002,0-2,2,,,,,,,,
ME,2002,7/26/2002,0-8,1,,,,,,,,
MO,2002,7/26/2002,0-2,1,,,,,,,,
MO,2002,7/26/2002,0-2,2,,,,,,,,
MO,2002,7/26/2002,0-8,1,,,,,,,,
FI,2002,7/27/2002,0-2,1,,,,,,,,
FI,2002,7/27/2002,0-2,2,,,,,,,,
WI,2002,7/31/2002,0-2,1,,,,,,,,
WI,2002,7/31/2002,0-2,2,,,,,,,,
ME,2002,8/12/2002,0-2,1,,,,,,,,
ME,2002,8/12/2002,0-8,1,,,,,,,,
MO,2002,8/13/2002,0-2,1,,,,,,,,
MO,2002,8/13/2002,0-8,1,,,,,,,,
FI,2002,8/14/2002,0-2,1,,,,,,,,
FI,2002,8/14/2002,0-2,2,,,,,,,,
WI,2002,8/15/2002,0-2,1,,,,,,,,
WI,2002,8/15/2002,0-2,2,,,,,,,,
ME,2002,8/26/2002,0-2,1,,,,,,,,
ME,2002,8/26/2002,0-2,2,,,,,,,,
ME,2002,8/26/2002,0-8,1,,,,,,,,
MO,2002,8/26/2002,0-2,1,,,,,,,,
MO,2002,8/26/2002,0-8,1,,,,,,,,
FI,2002,8/27/2002,0-2,1,,,,,,,,
FI,2002,8/27/2002,0-2,2,,,,,,,,
WI,2002,8/28/2002,0-2,1,,,,,,,,
WI,2002,8/28/2002,0-2,2,,,,,,,,
ME,2002,9/23/2002,0-2,1,,,,,,,,
ME,2002,9/23/2002,0-8,1,,,,,,,,
MO,2002,9/24/2002,0-2,1,,,,,,,,
MO,2002,9/24/2002,0-8,1,,,,,,,,
FI,2002,9/25/2002,0-2,1,,,,,,,,
FI,2002,9/25/2002,0-2,2,,,,,,,,
WI,2002,9/26/2002,0-2,1,,,,,,,,
WI,2002,9/26/2002,0-2,2,,,,,,,,
ME,2002,10/21/2002,0-2,1,,,,,,,,
ME,2002,10/21/2002,0-2,2,,,,,,,,
ME,2002,10/21/2002,0-8,1,,,,,,,,
MO,2002,10/22/2002,0-2,1,,,,,,,,
MO,2002,10/22/2002,0-8,1,,,,,,,,
FI,2002,10/23/2002,0-2,1,,,,,,,,
FI,2002,10/23/2002,0-2,2,,,,,,,,
WI,2002,10/24/2002,0-2,1,,,,,,,,
ME,2002,11/18/2002,0-2,1,,,,,,,,
ME,2002,11/18/2002,0-8,1,,,,,,,,
MO,2002,11/19/2002,0-2,1,,,,,,,,
MO,2002,11/19/2002,0-8,1,,,,,,,,
WI,2002,11/20/2002,0-2,1,,,,,,,,
WI,2002,11/20/2002,0-2,2,,,,,,,,
FI,2002,11/21/2002,0-2,1,,,,,,,,
ME,2003,1/21/2003,0-2,1,,,,,,,,
ME,2003,1/21/2003,0-2,2,,,,,,,,
ME,2003,1/21/2003,0-8,1,,,,,,,,
FI,2003,1/27/2003,0-2,1,,,,,,,,
FI,2003,1/27/2003,0-2,2,,,,,,,,
WI,2003,1/28/2003,0-2,1,,,,,,,,
WI,2003,1/28/2003,0-2,2,,,,,,,,
MO,2003,2/13/2003,0-2,1,,,,,,,,
MO,2003,2/13/2003,0-2,2,,,,,,,,
MO,2003,2/13/2003,0-8,1,,,,,,,,
MO,2003,4/1/2003,0-2,1,,,,,,,,
MO,2003,4/1/2003,0-2,2,,,,,,,,
MO,2003,4/1/2003,0-8,1,,,,,,,,
FI,2003,4/2/2003,0-2,1,,,,,,,,
ME,2003,4/3/2003,0-2,1,,,,,,,,
ME,2003,4/3/2003,0-2,2,,,,,,,,
ME,2003,4/3/2003,0-8,1,,,,,,,,
WI,2003,4/3/2003,0-2,1,,,,,,,,
WI,2003,4/3/2003,0-2,2,,,,,,,,
ME,2003,4/14/2003,0-2,1,,,,,,,,
ME,2003,4/14/2003,0-2,2,,,,,,,,
ME,2003,4/14/2003,0-8,1,,,,,,,,
MO,2003,4/15/2003,0-2,1,,,,,,,,
MO,2003,4/15/2003,0-2,2,,,,,,,,
MO,2003,4/15/2003,0-8,1,,,,,,,,
WI,2003,4/17/2003,0-2,1,,,,,,,,
WI,2003,4/17/2003,0-2,2,,,,,,,,
FI,2003,4/18/2003,0-2,1,,,,,,,,
FI,2003,4/18/2003,0-2,2,,,,,,,,
ME,2003,4/28/2003,0-2,1,,,,,,,,
ME,2003,4/28/2003,0-2,2,,,,,,,,
ME,2003,4/28/2003,0-8,1,,,,,,,,
MO,2003,4/28/2003,0-2,1,,,,,,,,
MO,2003,4/28/2003,0-2,2,,,,,,,,
MO,2003,4/28/2003,0-8,1,,,,,,,,
FI,2003,4/29/2003,0-2,1,,,,,,,,
FI,2003,4/29/2003,0-2,2,,,,,,,,
WI,2003,5/1/2003,0-2,1,,,,,,,,
WI,2003,5/1/2003,0-2,2,,,,,,,,
ME,2003,5/13/2003,0-2,1,,,,,,,,
ME,2003,5/13/2003,0-2,2,,,,,,,,
ME,2003,5/13/2003,0-8,1,,,,,,,,
MO,2003,5/13/2003,0-2,1,,,,,,,,
MO,2003,5/13/2003,0-2,2,,,,,,,,
MO,2003,5/13/2003,0-8,1,,,,,,,,
FI,2003,5/14/2003,0-2,1,,,,,,,,
FI,2003,5/14/2003,0-2,2,,,,,,,,
WI,2003,5/15/2003,0-2,1,,,,,,,,
WI,2003,5/15/2003,0-2,2,,,,,,,,
ME,2003,5/27/2003,0-2,1,,,,,,,,
ME,2003,5/27/2003,0-2,2,,,,,,,,
ME,2003,5/27/2003,0-8,1,,,,,,,,
MO,2003,5/27/2003,0-2,1,,,,,,,,
MO,2003,5/27/2003,0-2,2,,,,,,,,
MO,2003,5/27/2003,0-8,1,,,,,,,,
FI,2003,5/28/2003,0-2,1,,,,,,,,
FI,2003,5/28/2003,0-2,2,,,,,,,,
WI,2003,5/29/2003,0-2,1,,,,,,,,
WI,2003,5/29/2003,0-2,2,,,,,,,,
ME,2003,6/9/2003,0-2,1,,,,,,,,
ME,2003,6/9/2003,0-2,2,,,,,,,,
ME,2003,6/9/2003,0-8,1,,,,,,,,
MO,2003,6/10/2003,0-2,1,,,,,,,,
MO,2003,6/10/2003,0-2,2,,,,,,,,
MO,2003,6/10/2003,0-8,1,,,,,,,,
FI,2003,6/11/2003,0-2,1,,,,,,,,
FI,2003,6/11/2003,0-2,2,,,,,,,,
WI,2003,6/12/2003,0-2,1,,,,,,,,
WI,2003,6/12/2003,0-2,2,,,,,,,,
ME,2003,6/23/2003,0-2,1,,,,,,,,
ME,2003,6/23/2003,0-2,2,,,,,,,,
ME,2003,6/23/2003,0-8,1,,,,,,,,
MO,2003,6/23/2003,0-2,1,,,,,,,,
MO,2003,6/23/2003,0-2,2,,,,,,,,
MO,2003,6/23/2003,0-8,1,,,,,,,,
FI,2003,6/24/2003,0-2,1,,,,,,,,
FI,2003,6/24/2003,0-2,2,,,,,,,,
WI,2003,6/25/2003,0-2,1,,,,,,,,
WI,2003,6/25/2003,0-2,2,,,,,,,,
ME,2003,7/7/2003,0-2,1,,,,,,,,
ME,2003,7/7/2003,0-2,2,,,,,,,,
ME,2003,7/7/2003,0-8,1,,,,,,,,
MO,2003,7/8/2003,0-2,1,,,,,,,,
MO,2003,7/8/2003,0-2,2,,,,,,,,
MO,2003,7/8/2003,0-8,1,,,,,,,,
FI,2003,7/9/2003,0-2,1,,,,,,,,
FI,2003,7/9/2003,0-2,2,,,,,,,,
WI,2003,7/10/2003,0-2,1,,,,,,,,
WI,2003,7/10/2003,0-2,2,,,,,,,,
WI,2003,7/21/2003,0-2,1,,,,,,,,
WI,2003,7/21/2003,0-2,2,,,,,,,,
FI,2003,7/22/2003,0-2,1,,,,,,,,
FI,2003,7/22/2003,0-2,2,,,,,,,,
MO,2003,7/23/2003,0-2,1,,,,,,,,
MO,2003,7/23/2003,0-2,2,,,,,,,,
MO,2003,7/23/2003,0-8,1,,,,,,,,
ME,2003,7/24/2003,0-2,1,,,,,,,,
ME,2003,7/24/2003,0-2,2,,,,,,,,
ME,2003,7/24/2003,0-8,1,,,,,,,,
ME,2003,8/4/2003,0-2,1,,,,,,,,
ME,2003,8/4/2003,0-2,2,,,,,,,,
ME,2003,8/4/2003,0-8,1,,,,,,,,
MO,2003,8/5/2003,0-2,1,,,,,,,,
MO,2003,8/5/2003,0-2,2,,,,,,,,
MO,2003,8/5/2003,0-8,1,,,,,,,,
FI,2003,8/6/2003,0-2,1,,,,,,,,
FI,2003,8/6/2003,0-2,2,,,,,,,,
WI,2003,8/7/2003,0-2,1,,,,,,,,
WI,2003,8/7/2003,0-2,2,,,,,,,,
ME,2003,8/18/2003,0-2,1,,,,,,,,
ME,2003,8/18/2003,0-2,2,,,,,,,,
ME,2003,8/18/2003,0-8,1,,,,,,,,
MO,2003,8/18/2003,0-2,1,,,,,,,,
MO,2003,8/18/2003,0-2,2,,,,,,,,
MO,2003,8/18/2003,0-8,1,,,,,,,,
FI,2003,8/19/2003,0-2,1,,,,,,,,
FI,2003,8/19/2003,0-2,2,,,,,,,,
WI,2003,8/22/2003,0-2,1,,,,,,,,
WI,2003,8/22/2003,0-2,2,,,,,,,,
ME,2003,9/2/2003,0-2,1,,,,,,,,
ME,2003,9/2/2003,0-2,2,,,,,,,,
ME,2003,9/2/2003,0-8,1,,,,,,,,
MO,2003,9/3/2003,0-2,1,,,,,,,,
MO,2003,9/3/2003,0-2,2,,,,,,,,
MO,2003,9/3/2003,0-8,1,,,,,,,,
WI,2003,9/4/2003,0-2,1,,,,,,,,
WI,2003,9/4/2003,0-2,2,,,,,,,,
FI,2003,9/5/2003,0-2,1,,,,,,,,
FI,2003,9/5/2003,0-2,2,,,,,,,,
ME,2003,9/29/2003,0-2,1,,,,,,,,
ME,2003,9/29/2003,0-2,2,,,,,,,,
ME,2003,9/29/2003,0-8,1,,,,,,,,
MO,2003,9/30/2003,0-2,1,,,,,,,,
MO,2003,9/30/2003,0-2,2,,,,,,,,
MO,2003,9/30/2003,0-8,1,,,,,,,,
FI,2003,10/1/2003,0-2,1,,,,,,,,
FI,2003,10/1/2003,0-2,2,,,,,,,,
WI,2003,10/2/2003,0-2,1,,,,,,,,
WI,2003,10/2/2003,0-2,2,,,,,,,,
ME,2003,10/27/2003,0-2,1,,,,,,,,
ME,2003,10/27/2003,0-2,2,,,,,,,,
ME,2003,10/27/2003,0-8,1,,,,,,,,
MO,2003,10/29/2003,0-2,1,,,,,,,,
MO,2003,10/29/2003,0-2,2,,,,,,,,
MO,2003,10/29/2003,0-8,1,,,,,,,,
FI,2003,11/5/2003,0-2,1,,,,,,,,
FI,2003,11/5/2003,0-2,2,,,,,,,,
WI,2003,11/6/2003,0-2,1,,,,,,,,
WI,2003,11/6/2003,0-2,2,,,,,,,,
ME,2003,11/25/2003,0-2,1,,,,,,,,
ME,2003,11/25/2003,0-2,2,,,,,,,,
ME,2003,11/25/2003,0-8,1,,,,,,,,
WI,2003,11/26/2003,0-2,1,,,,,,,,
WI,2003,11/26/2003,0-2,2,,,,,,,,
MO,2003,12/2/2003,0-2,1,,,,,,,,
MO,2003,12/2/2003,0-2,2,,,,,,,,
MO,2003,12/2/2003,0-8,1,,,,,,,,
FI,2003,12/4/2003,0-2,1,,,,,,,,
FI,2003,12/4/2003,0-2,2,,,,,,,,
ME,2004,2/3/2004,0-2,1,,,,,,,,
ME,2004,2/3/2004,0-2,2,,,,,,,,
ME,2004,2/3/2004,0-8,1,,,,,,,,
WI,2004,2/9/2004,0-2,1,,,,,,,,
WI,2004,2/9/2004,0-2,2,,,,,,,,
FI,2004,2/11/2004,0-2,1,,,,,,,,
FI,2004,2/11/2004,0-2,2,,,,,,,,
MO,2004,2/17/2004,0-2,1,,,,,,,,
MO,2004,2/17/2004,0-2,2,,,,,,,,
MO,2004,2/17/2004,0-8,1,,,,,,,,
ME,2004,3/29/2004,0-2,1,,,,,,,,
ME,2004,3/29/2004,0-2,2,,,,,,,,
ME,2004,3/29/2004,0-8,1,,,,,,,,
FI,2004,3/30/2004,0-2,1,,,,,,,,
FI,2004,3/30/2004,0-2,2,,,,,,,,
MO,2004,3/31/2004,0-2,1,,,,,,,,
MO,2004,3/31/2004,0-2,2,,,,,,,,
MO,2004,3/31/2004,0-8,1,,,,,,,,
WI,2004,3/31/2004,0-2,1,,,,,,,,
WI,2004,3/31/2004,0-2,2,,,,,,,,
ME,2004,4/12/2004,0-2,1,,,,,,,,
ME,2004,4/12/2004,0-2,2,,,,,,,,
ME,2004,4/12/2004,0-8,1,,,,,,,,
MO,2004,4/13/2004,0-2,1,,,,,,,,
MO,2004,4/13/2004,0-2,2,,,,,,,,
MO,2004,4/13/2004,0-8,1,,,,,,,,
WI,2004,4/15/2004,0-2,1,,,,,,,,
