"lakeid","year4","sampledate","sta","depth_range","division","taxa_name","gald","cells_per_nu","nu_per_ml","cells_per_ml","biovolume_conc","biomass_conc","relative_total_biovolume","genus"
"ME",2000,"2000-04-10",,"0-8m","Chrysophyta","Dinobryon sertularia ",33,1,34.725,34.725,6944.912,0.00694491,0.395,"Dinobryon"
"ME",2000,"2000-04-10",,"0-8m","Chrysophyta","Mallomonas akrokomas ",17.6,1,34.725,34.725,4957.57,0.00495757,0.282,"Mallomonas"
"ME",2000,"2000-04-10",,"0-8m","Bacillariophyta","Stephanodiscus niagarae ",52.8,1,17.535,17.535,703300,0.7033,40.023,"Stephanodiscus"
"ME",2000,"2000-04-10",,"0-8m","Bacillariophyta","Stephanodiscus hantzschii ",11,1,243.072,243.072,86349.82,0.08634982,4.914,"Stephanodiscus"
"ME",2000,"2000-04-10",,"0-8m","Chrysophyta","Synura uvella-sphagnicola",13.2,1,173.623,173.623,63210.352,0.06321035,3.597,"Synura"
"ME",2000,"2000-04-10",,"0-8m","Chrysophyta","Uroglena  ",4.4,1,972.288,972.288,43399.439,0.04339944,2.47,"Uroglena"
"ME",2000,"2000-04-10",,"0-8m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,34.725,34.725,1547.022,0.00154702,0.088,"Erkenia"
"ME",2000,"2000-04-10",,"0-8m","Chlorophyta","Monoraphidium arcuatum",77,1,34.725,34.725,5422.342,0.00542234,0.309,"Monoraphidium"
"ME",2000,"2000-04-10",,"0-8m","Chlorophyta","Chlamydomonas incerta ",11,1,34.725,34.725,24172.219,0.02417222,1.376,"Chlamydomonas"
"ME",2000,"2000-04-10",,"0-8m","Chlorophyta","Chlamydomonas platystigma ",6.6,1,69.449,69.449,4641.066,0.00464107,0.264,"Chlamydomonas"
"ME",2000,"2000-04-10",,"0-8m","Chlorophyta","Sphaerocystis schroeteri ",22,12,8.768,105.216,15819.713,0.01581971,0.9,"Sphaerocystis"
"ME",2000,"2000-04-10",,"0-8m","Chlorophyta","Chlorococcaceae",4.4,1,104.174,104.174,4641.066,0.00464107,0.264,
"ME",2000,"2000-04-10",,"0-8m","Cryptophyta","Cryptomonas erosa ",18.7,1,694.491,694.491,388400,0.3884,22.104,"Cryptomonas"
"ME",2000,"2000-04-10",,"0-8m","Cryptophyta","Rhodomonas minuta ",13.2,1,208.347,208.347,16274.79,0.01627479,0.926,"Rhodomonas"
"ME",2000,"2000-04-10",,"0-8m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.25,1,2569.618,2569.618,136200,0.1362,7.751,"Rhodomonas"
"ME",2000,"2000-04-10",,"0-8m","Cyanophyta","Aphanizomenon flos-aquae",174.35,26.35,35.071,924.1209,92692.249,0.09269225,5.275,"Aphanizomenon"
"ME",2000,"2000-04-10",,"0-8m","Cyanophyta","Microcystis aeruginosa ",4.4,1,69.449,69.449,3094.044,0.00309404,0.176,"Microcystis"
"ME",2000,"2000-04-10",,"0-8m","Cyanophyta","Chroococcaceae",0.9,1,9655.122,9655.122,3681.179,0.00368118,0.209,
"ME",2000,"2000-04-10",,"0-8m","Cyanophyta","Synechococcus sp1 ",1.8,1,6436.748,6436.748,4908.239,0.00490824,0.279,"Synechococcus"
"ME",2000,"2000-04-10",,"0-8m","Pyrrhophyta","Gymnodinium sp2 ",13.2,1,34.725,34.725,14851.411,0.01485141,0.845,"Gymnodinium"
"ME",2000,"2000-04-10",,"0-8m","Pyrrhophyta","Gymnodinium sp3 ",8.8,1,69.449,69.449,8800.836,0.00880084,0.501,"Gymnodinium"
"ME",2000,"2000-04-10",,"0-8m","Miscellaneous","Miscellaneous",2.2,1,2812.689,2812.689,15663.598,0.0156636,0.891,
"MO",2000,"2000-04-25",,"0-2m","Bacillariophyta","Cyclotella sp1 ",6.6,1,17.362,17.362,1371.438,0.00137144,0.372,"Cyclotella"
"MO",2000,"2000-04-25",,"0-2m","Bacillariophyta","Stephanodiscus niagarae ",35.2,1,3.472,3.472,40421.584,0.04042158,10.957,"Stephanodiscus"
"MO",2000,"2000-04-25",,"0-2m","Chrysophyta","Ochromonas  ",6.6,1,3.472,3.472,522.12,0.00052212,0.142,"Ochromonas"
"MO",2000,"2000-04-25",,"0-2m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,3.472,3.472,154.702,0.0001547,0.042,"Erkenia"
"MO",2000,"2000-04-25",,"0-2m","Chlorophyta","Quadrigula lacustris ",22,1,3.472,3.472,653.066,0.00065307,0.177,"Quadrigula"
"MO",2000,"2000-04-25",,"0-2m","Chlorophyta","Schroederia judayi ",44,1,3.472,3.472,230.062,0.00023006,0.062,"Schroederia"
"MO",2000,"2000-04-25",,"0-2m","Cryptophyta","Cryptomonas erosa ",17.6,1,10.417,10.417,4807.238,0.00480724,1.303,"Cryptomonas"
"MO",2000,"2000-04-25",,"0-2m","Cryptophyta","Rhodomonas minuta ",15.4,1,6.945,6.945,999.011,0.00099901,0.271,"Rhodomonas"
"MO",2000,"2000-04-25",,"0-2m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.8,1,93.756,93.756,4571.835,0.00457184,1.239,"Rhodomonas"
"MO",2000,"2000-04-25",,"0-2m","Cryptophyta","Cryptomonas rostratiformis ",27.5,1,3.472,3.472,6112.719,0.00611272,1.657,"Cryptomonas"
"MO",2000,"2000-04-25",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae",90.108,13.65,190.985,2606.9453,261500,0.2615,70.88,"Aphanizomenon"
"MO",2000,"2000-04-25",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae ",220,107,3.472,371.504,37268.292,0.03726829,10.102,"Aphanizomenon"
"MO",2000,"2000-04-25",,"0-2m","Cyanophyta","Aphanothece nidulans ",22,20,6.945,138.9,244.461,0.00024446,0.066,"Aphanothece"
"MO",2000,"2000-04-25",,"0-2m","Cyanophyta","Oscillatoria limnetica ",38.5,8.8,3.472,30.5536,287.349,0.00028735,0.078,"Pseudanabaena"
"MO",2000,"2000-04-25",,"0-2m","Cyanophyta","Chroococcaceae",0.9,1,965.512,965.512,368.118,0.00036812,0.1,
"MO",2000,"2000-04-25",,"0-2m","Cyanophyta","Synechococcus sp1 ",1.8,1,3218.374,3218.374,2454.12,0.00245412,0.665,"Synechococcus"
"MO",2000,"2000-04-25",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,1250.084,1250.084,6961.599,0.0069616,1.887,
"ME",2000,"2000-04-25",,"0-8m","Bacillariophyta","Cyclotella sp1 ",6.6,1,694.491,694.491,54857.533,0.05485753,8.637,"Cyclotella"
"ME",2000,"2000-04-25",,"0-8m","Chrysophyta","Dinobryon sertularia ",33,1,8.681,8.681,1736.228,0.00173623,0.273,"Dinobryon"
"ME",2000,"2000-04-25",,"0-8m","Bacillariophyta","Nitzschia acicularis ",66,1,8.681,8.681,1436.745,0.00143675,0.226,"Nitzschia"
"ME",2000,"2000-04-25",,"0-8m","Bacillariophyta","Stephanodiscus niagarae ",44,1,8.681,8.681,197400,0.1974,31.076,"Stephanodiscus"
"ME",2000,"2000-04-25",,"0-8m","Bacillariophyta","Stephanodiscus hantzschii ",11,1,95.493,95.493,33923.144,0.03392314,5.341,"Stephanodiscus"
"ME",2000,"2000-04-25",,"0-8m","Chrysophyta","Uroglena  ",4.4,1,138.898,138.898,6199.92,0.00619992,0.976,"Uroglena"
"ME",2000,"2000-04-25",,"0-8m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,34.725,34.725,1547.022,0.00154702,0.244,"Erkenia"
"ME",2000,"2000-04-25",,"0-8m","Chlorophyta","Pandorina morum ",33,10,17.362,173.62,97269.008,0.09726901,15.315,"Pandorina"
"ME",2000,"2000-04-25",,"0-8m","Chlorophyta","Schroederia judayi ",16.5,1,17.362,17.362,383.437,0.00038344,0.06,"Schroederia"
"ME",2000,"2000-04-25",,"0-8m","Chlorophyta","Monomastix astigmata",4.4,1,17.362,17.362,143.82,0.00014382,0.023,"Monomastix"
"ME",2000,"2000-04-25",,"0-8m","Cryptophyta","Cryptomonas erosa ",19.8,1,130.217,130.217,85558.502,0.0855585,13.471,"Cryptomonas"
"ME",2000,"2000-04-25",,"0-8m","Cryptophyta","Rhodomonas minuta ",13.2,1,78.13,78.13,6103.046,0.00610305,0.961,"Rhodomonas"
"ME",2000,"2000-04-25",,"0-8m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.25,1,1232.722,1232.722,65341.343,0.06534134,10.288,"Rhodomonas"
"ME",2000,"2000-04-25",,"0-8m","Cryptophyta","Cryptomonas rostratiformis ",30.8,1,8.681,8.681,21469.824,0.02146982,3.38,"Cryptomonas"
"ME",2000,"2000-04-25",,"0-8m","Cyanophyta","Aphanizomenon flos-aquae",286,43.3,8.681,375.8873,37703.669,0.03770367,5.936,"Aphanizomenon"
"ME",2000,"2000-04-25",,"0-8m","Cyanophyta","Chroococcaceae",0.9,1,5149.398,5149.398,1963.296,0.0019633,0.309,
"ME",2000,"2000-04-25",,"0-8m","Cyanophyta","Synechocystis  ",2.2,1,17.362,17.362,96.689,9.669e-05,0.015,"Synechocystis"
"ME",2000,"2000-04-25",,"0-8m","Cyanophyta","Synechococcus sp1 ",1.8,1,7080.423,7080.423,5399.063,0.00539906,0.85,"Synechococcus"
"ME",2000,"2000-04-25",,"0-8m","Pyrrhophyta","Gymnodinium sp3 ",8.8,1,8.681,8.681,1100.105,0.00110011,0.173,"Gymnodinium"
"ME",2000,"2000-04-25",,"0-8m","Miscellaneous","Miscellaneous",2.2,1,2708.516,2708.516,15083.464,0.01508346,2.375,
"ME",2000,"2000-04-25",,"0-8m","Chlorophyta","Monoraphidium capricornutum",4.4,1,34.725,34.725,435.516,0.00043552,0.069,"Monoraphidium"
"MO",2000,"2000-05-09",,"0-2m","Chrysophyta","Uroglena  ",4.4,1,2.604,2.604,116.248,0.00011625,0.042,"Uroglena"
"MO",2000,"2000-05-09",,"0-2m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,13.022,13.022,580.133,0.00058013,0.209,"Erkenia"
"MO",2000,"2000-05-09",,"0-2m","Chlorophyta","Eudorina elegans ",44,12,2.604,31.248,21754.997,0.021755,7.846,"Eudorina"
"MO",2000,"2000-05-09",,"0-2m","Chlorophyta","Schroederia judayi ",15.4,1,278.665,278.665,5538.748,0.00553875,1.998,"Schroederia"
"MO",2000,"2000-05-09",,"0-2m","Chlorophyta","Sphaerocystis schroeteri ",66,70.667,7.813,552.1213,50123.513,0.05012351,18.077,"Sphaerocystis"
"MO",2000,"2000-05-09",,"0-2m","Chlorophyta","Chlorococcaceae",4.4,1,2.604,2.604,116.027,0.00011603,0.042,
"MO",2000,"2000-05-09",,"0-2m","Chlorophyta","Monomastix astigmata",3.3,1,585.977,585.977,2047.747,0.00204775,0.739,"Monomastix"
"MO",2000,"2000-05-09",,"0-2m","Cryptophyta","Cryptomonas erosa ",16.867,1,59.9,59.9,26219.945,0.02621995,9.456,"Cryptomonas"
"MO",2000,"2000-05-09",,"0-2m","Cryptophyta","Rhodomonas minuta ",13.2,1,20.835,20.835,1627.479,0.00162748,0.587,"Rhodomonas"
"MO",2000,"2000-05-09",,"0-2m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",7.7,1,78.13,78.13,3923.387,0.00392339,1.415,"Rhodomonas"
"MO",2000,"2000-05-09",,"0-2m","Cryptophyta","Cryptomonas gracilis",19.8,1,2.604,2.604,1711.17,0.00171117,0.617,"Cryptomonas"
"MO",2000,"2000-05-09",,"0-2m","Cryptophyta","Cryptomonas rostratiformis ",25.85,1,5.209,5.209,7626.032,0.00762603,2.75,"Cryptomonas"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae",117.04,17.74,75.526,1339.8312,134400,0.1344,48.468,"Aphanizomenon"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Aphanothece nidulans ",44,40,5.209,208.36,366.691,0.00036669,0.132,"Aphanothece"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Coelosphaerium naegelianum ",6.6,1,2.604,2.604,12.24,1.224e-05,0.004,"Woronichinia"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Oscillatoria limnetica ",22,5,10.417,52.085,489.799,0.0004898,0.177,"Pseudanabaena"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Microcystis aeruginosa ",33,18.333,23.439,429.7072,8076.543,0.00807654,2.913,"Microcystis"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Microcystis aeruginosa ",3.3,1,70.317,70.317,1321.616,0.00132162,0.477,"Microcystis"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Chroococcaceae",0.9,1,965.512,965.512,368.118,0.00036812,0.133,
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Synechocystis  ",2.2,1,15.626,15.626,87.02,8.702e-05,0.031,"Synechocystis"
"MO",2000,"2000-05-09",,"0-2m","Cyanophyta","Synechococcus sp1 ",1.8,1,1931.024,1931.024,1472.472,0.00147247,0.531,"Synechococcus"
"MO",2000,"2000-05-09",,"0-2m","Pyrrhophyta","Gymnodinium sp2 ",13.2,1,2.604,2.604,1113.856,0.00111386,0.402,"Gymnodinium"
"MO",2000,"2000-05-09",,"0-2m","Pyrrhophyta","Gymnodinium sp3 ",8.8,1,20.835,20.835,2640.251,0.00264025,0.952,"Gymnodinium"
"MO",2000,"2000-05-09",,"0-2m","Pyrrhophyta","Amphidinium  ",8.8,1,2.604,2.604,330.031,0.00033003,0.119,"Amphidinium"
"MO",2000,"2000-05-09",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,937.563,937.563,5221.199,0.0052212,1.883,
"ME",2000,"2000-05-10",,"0-8m","Bacillariophyta","Cyclotella sp1 ",6.6,1,26.043,26.043,2057.157,0.00205716,0.407,"Cyclotella"
"ME",2000,"2000-05-10",,"0-8m","Bacillariophyta","Nitzschia acicularis ",60.5,1,17.362,17.362,2634.032,0.00263403,0.521,"Nitzschia"
"ME",2000,"2000-05-10",,"0-8m","Bacillariophyta","Stephanodiscus hantzschii ",10.267,1,43.406,43.406,14144.923,0.01414492,2.797,"Stephanodiscus"
"ME",2000,"2000-05-10",,"0-8m","Chrysophyta","Uroglena  ",4.4,1,43.406,43.406,1937.475,0.00193748,0.383,"Uroglena"
"ME",2000,"2000-05-10",,"0-8m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,17.362,17.362,773.511,0.00077351,0.153,"Erkenia"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Monoraphidium arcuatum",13.2,1,17.362,17.362,261.434,0.00026143,0.052,"Monoraphidium"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Chlamydomonas globosa ",6.6,1,8.681,8.681,1305.3,0.0013053,0.258,"Chlamydomonas"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Eudorina elegans ",22,12,8.681,104.172,4641.066,0.00464107,0.918,"Eudorina"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Oocystis parva ",28.6,3.5,17.362,60.767,16388.764,0.01638876,3.241,"Oocystis"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Pandorina morum ",22,16,8.681,138.896,49504.704,0.0495047,9.79,"Pandorina"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Pediastrum boryanum ",33,2,8.681,17.362,5042.006,0.00504201,0.997,"Pediastrum"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Scenedesmus dimorphus ",13.2,4,8.681,34.724,1161.006,0.00116101,0.23,"Scenedesmus"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Schroederia judayi ",18.975,1,199.666,199.666,10582.862,0.01058286,2.093,"Schroederia"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Tetraedron caudatum ",6.6,1,8.681,8.681,1512.602,0.0015126,0.299,"Tetraedron"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Sphaerocystis schroeteri ",33,12,8.681,104.172,72516.656,0.07251666,14.341,"Sphaerocystis"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Chlorococcaceae",4.4,1,8.681,8.681,386.755,0.00038676,0.076,
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Monomastix astigmata",4.4,1,43.406,43.406,359.55,0.00035955,0.071,"Monomastix"
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Scenedesmus quadricauda ",42.167,3,26.043,78.129,4353.772,0.00435377,0.861,"Scenedesmus"
"ME",2000,"2000-05-10",,"0-8m","Cryptophyta","Cryptomonas erosa ",17.6,1,69.449,69.449,32048.251,0.03204825,6.338,"Cryptomonas"
"ME",2000,"2000-05-10",,"0-8m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",6.6,1,34.725,34.725,1549.98,0.00154998,0.307,"Rhodomonas"
"ME",2000,"2000-05-10",,"0-8m","Cryptophyta","Cryptomonas gracilis",15.4,1,8.681,8.681,2683.728,0.00268373,0.531,"Cryptomonas"
"ME",2000,"2000-05-10",,"0-8m","Cyanophyta","Aphanizomenon flos-aquae",100.925,15.288,147.579,2256.1878,226300,0.2263,44.753,"Aphanizomenon"
"ME",2000,"2000-05-10",,"0-8m","Cyanophyta","Aphanocapsa elachista ",22,55,17.362,954.91,1680.669,0.00168067,0.332,"Aphanocapsa"
"ME",2000,"2000-05-10",,"0-8m","Cyanophyta","Aphanothece nidulans ",44,60,8.681,520.86,916.728,0.00091673,0.181,"Aphanothece"
"ME",2000,"2000-05-10",,"0-8m","Cyanophyta","Oscillatoria limnetica ",13.2,3,8.681,26.043,244.9,0.0002449,0.048,"Pseudanabaena"
"ME",2000,"2000-05-10",,"0-8m","Cyanophyta","Chroococcaceae",0.9,1,10942.472,10942.472,4172.003,0.004172,0.825,
"ME",2000,"2000-05-10",,"0-8m","Cyanophyta","Synechococcus sp1 ",1.8,1,10298.797,10298.797,7853.183,0.00785318,1.553,"Synechococcus"
"ME",2000,"2000-05-10",,"0-8m","Miscellaneous","Miscellaneous",2.2,1,2083.474,2083.474,11602.665,0.01160267,2.295,
"ME",2000,"2000-05-10",,"0-8m","Chlorophyta","Scenedesmus serratus ",5.5,2,17.362,34.724,725.629,0.00072563,0.144,"Scenedesmus"
"ME",2000,"2000-05-10",,"0-8m","Bacillariophyta","Synedra filiformis",83.6,1,17.362,17.362,3639.754,0.00363975,0.72,"Synedra"
"ME",2000,"2000-05-10",,"0-8m","Bacillariophyta","Aulacoseira ambigua ",110,5,8.681,43.405,22675.898,0.0226759,4.484,"Aulacoseira"
"MO",2000,"2000-05-22",,"0-2m","Bacillariophyta","Cyclotella sp1 ",6.6,1,17.362,17.362,1371.438,0.00137144,0.476,"Cyclotella"
"MO",2000,"2000-05-22",,"0-2m","Bacillariophyta","Fragilaria capucina ",22,5,8.681,43.405,6704.81,0.00670481,2.327,"Fragilaria"
"MO",2000,"2000-05-22",,"0-2m","Chrysophyta","Mallomonas  ",28.6,1,8.681,8.681,30795.407,0.03079541,10.688,"Mallomonas"
"MO",2000,"2000-05-22",,"0-2m","Chlorophyta","Chlamydomonas globosa ",4.4,1,8.681,8.681,386.755,0.00038676,0.134,"Chlamydomonas"
"MO",2000,"2000-05-22",,"0-2m","Chlorophyta","Schroederia judayi ",11,1,677.129,677.129,9969.362,0.00996936,3.46,"Schroederia"
"MO",2000,"2000-05-22",,"0-2m","Chlorophyta","Sphaerocystis schroeteri ",44,48,8.681,416.688,7831.799,0.0078318,2.718,"Sphaerocystis"
"MO",2000,"2000-05-22",,"0-2m","Chlorophyta","Monomastix astigmata",3.3,1,347.246,347.246,1213.48,0.00121348,0.421,"Monomastix"
"MO",2000,"2000-05-22",,"0-2m","Cryptophyta","Cryptomonas erosa ",17.6,1,17.362,17.362,8012.063,0.00801206,2.781,"Cryptomonas"
"MO",2000,"2000-05-22",,"0-2m","Cryptophyta","Rhodomonas minuta ",13.2,1,26.043,26.043,2034.349,0.00203435,0.706,"Rhodomonas"
"MO",2000,"2000-05-22",,"0-2m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.8,1,164.942,164.942,9203.006,0.00920301,3.194,"Rhodomonas"
"MO",2000,"2000-05-22",,"0-2m","Cryptophyta","Cryptomonas rostratiformis ",31.35,1,17.362,17.362,47330.048,0.04733005,16.426,"Cryptomonas"
"MO",2000,"2000-05-22",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae",126.343,19.129,78.13,1494.5488,149900,0.1499,52.025,"Aphanizomenon"
"MO",2000,"2000-05-22",,"0-2m","Cyanophyta","Aphanocapsa delicatissima ",22,20,8.681,173.62,38.371,3.837e-05,0.013,"Aphanocapsa"
"MO",2000,"2000-05-22",,"0-2m","Cyanophyta","Coelosphaerium naegelianum ",6.6,1,17.362,17.362,81.603,8.16e-05,0.028,"Woronichinia"
"MO",2000,"2000-05-22",,"0-2m","Cyanophyta","Phormidium mucicola",7.7,3.5,17.362,60.767,285.716,0.00028572,0.099,"Pseudanabaena"
"MO",2000,"2000-05-22",,"0-2m","Cyanophyta","Microcystis aeruginosa ",3.3,1,17.362,17.362,326.325,0.00032633,0.113,"Microcystis"
"MO",2000,"2000-05-22",,"0-2m","Cyanophyta","Chroococcaceae",0.9,1,4505.724,4505.724,1717.884,0.00171788,0.596,
"MO",2000,"2000-05-22",,"0-2m","Cyanophyta","Synechococcus sp1 ",1.8,1,9011.447,9011.447,6871.535,0.00687154,2.385,"Synechococcus"
"MO",2000,"2000-05-22",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,729.216,729.216,4060.933,0.00406093,1.409,
"ME",2000,"2000-05-22",,"0-8m","Bacillariophyta","Achnanthes minutissima ",16.5,1,6.945,6.945,287.349,0.00028735,0.127,"Achnanthes"
"ME",2000,"2000-05-22",,"0-8m","Bacillariophyta","Cocconeis placentula ",20.9,1,6.945,6.945,8154.979,0.00815498,3.614,"Cocconeis"
"ME",2000,"2000-05-22",,"0-8m","Chlorophyta","Chlamydomonas globosa ",7.7,1,6.945,6.945,1658.214,0.00165821,0.735,"Chlamydomonas"
"ME",2000,"2000-05-22",,"0-8m","Chlorophyta","Chlamydomonas platystigma ",6.6,1,6.945,6.945,464.107,0.00046411,0.206,"Chlamydomonas"
"ME",2000,"2000-05-22",,"0-8m","Chlorophyta","Coelastrum astroideum",11,4,6.945,27.78,522.12,0.00052212,0.231,"Coelastrum"
"ME",2000,"2000-05-22",,"0-8m","Chlorophyta","Schroederia judayi ",10.45,1,395.86,395.86,5536.831,0.00553683,2.454,"Schroederia"
"ME",2000,"2000-05-22",,"0-8m","Chlorophyta","Sphaerocystis schroeteri ",13.2,8,6.945,55.56,1044.24,0.00104424,0.463,"Sphaerocystis"
"ME",2000,"2000-05-22",,"0-8m","Cryptophyta","Cryptomonas erosa ",14.667,1,41.669,41.669,13395.167,0.01339517,5.936,"Cryptomonas"
"ME",2000,"2000-05-22",,"0-8m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",6.6,1,41.669,41.669,980.847,0.00098085,0.435,"Rhodomonas"
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Anabaena flos-aquae ",22,7,6.945,48.615,3248.746,0.00324875,1.44,"Anabaena"
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Aphanizomenon flos-aquae",158.714,24.057,62.504,1503.6587,150800,0.1508,66.834,"Aphanizomenon"
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Aphanothece nidulans ",44,33,13.89,458.37,806.721,0.00080672,0.357,"Aphanothece"
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Coelosphaerium naegelianum ",6.6,1,6.945,6.945,32.641,3.264e-05,0.014,"Woronichinia"
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Oscillatoria limnetica ",39.6,9,13.89,125.01,1175.519,0.00117552,0.521,"Pseudanabaena"
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Microcystis aeruginosa ",3.3,1,34.725,34.725,652.65,0.00065265,0.289,"Microcystis"
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Chroococcaceae",0.9,1,6436.748,6436.748,2454.12,0.00245412,1.087,
"ME",2000,"2000-05-22",,"0-8m","Cyanophyta","Synechococcus sp1 ",1.8,1,12229.821,12229.821,9325.654,0.00932565,4.132,"Synechococcus"
"ME",2000,"2000-05-22",,"0-8m","Pyrrhophyta","Gymnodinium sp3 ",8.8,1,13.89,13.89,1760.167,0.00176017,0.78,"Gymnodinium"
"ME",2000,"2000-05-22",,"0-8m","Miscellaneous","Miscellaneous",2.2,1,1770.953,1770.953,9862.265,0.00986227,4.37,
"ME",2000,"2000-05-22",,"0-8m","Euglenophyta","Euglenophyta",11,1,48.614,48.614,12182.798,0.0121828,5.398,"Euglenophyte"
"ME",2000,"2000-05-22",,"0-8m","Bacillariophyta","Cyclotella ocellata ",8.8,1,6.945,6.945,1300.327,0.00130033,0.576,"Cyclotella"
"MO",2000,"2000-06-06",,"0-2m","Bacillariophyta","Cyclotella sp1 ",4.95,1,69.449,69.449,2590.495,0.0025905,0.327,"Cyclotella"
"MO",2000,"2000-06-06",,"0-2m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,17.362,17.362,773.511,0.00077351,0.098,"Erkenia"
"MO",2000,"2000-06-06",,"0-2m","Chlorophyta","Monoraphidium arcuatum",8.8,1,8.681,8.681,87.145,8.715e-05,0.011,"Monoraphidium"
"MO",2000,"2000-06-06",,"0-2m","Chlorophyta","Schroederia judayi ",13.2,1,17.362,17.362,306.75,0.00030675,0.039,"Schroederia"
"MO",2000,"2000-06-06",,"0-2m","Chlorophyta","Sphaerocystis schroeteri ",14.3,4,8.681,34.724,1547.022,0.00154702,0.195,"Sphaerocystis"
"MO",2000,"2000-06-06",,"0-2m","Chlorophyta","Monomastix astigmata",3.3,1,8.681,8.681,30.337,3.034e-05,0.004,"Monomastix"
"MO",2000,"2000-06-06",,"0-2m","Cryptophyta","Cryptomonas erosa ",24.2,1,52.087,52.087,62484.7,0.0624847,7.88,"Cryptomonas"
"MO",2000,"2000-06-06",,"0-2m","Cryptophyta","Rhodomonas minuta ",13.2,1,52.087,52.087,4068.697,0.0040687,0.513,"Rhodomonas"
"MO",2000,"2000-06-06",,"0-2m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.8,1,451.419,451.419,25187.174,0.02518717,3.177,"Rhodomonas"
"MO",2000,"2000-06-06",,"0-2m","Cryptophyta","Cryptomonas rostratiformis ",27.5,1,17.362,17.362,30563.594,0.03056359,3.855,"Cryptomonas"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Anabaena flos-aquae ",71.5,85,34.725,2951.625,197200,0.1972,24.876,"Anabaena"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae",136.557,20.7,199.666,4133.0862,414600,0.4146,52.284,"Aphanizomenon"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Aphanothece nidulans ",22,20,8.681,173.62,305.576,0.00030558,0.039,"Aphanothece"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Oscillatoria limnetica ",33,7.5,8.681,65.1075,612.249,0.00061225,0.077,"Pseudanabaena"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Phormidium mucicola",8.8,4,8.681,34.724,163.266,0.00016327,0.021,"Pseudanabaena"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Microcystis aeruginosa ",52.25,72,17.362,1250.064,23495.396,0.0234954,2.963,"Microcystis"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Microcystis aeruginosa ",3.3,1,60.768,60.768,1142.137,0.00114214,0.144,"Microcystis"
"MO",2000,"2000-06-06",,"0-2m","Cyanophyta","Chroococcaceae",0.9,1,9011.447,9011.447,3435.767,0.00343577,0.433,
